Reason1,Reason2,Reason3,Reason4,Month,Day,Transportation_Expense,Distance,Age,Workload ,Hit_Target,Disciplinary_Failure,Education,Son,Social_Drinker,Social_Smoker,Pet,BMI,Absenteeism
0,0,0,1,7,3,289,36,33,239554,97,0,0,2,1,0,1,30,4
0,0,0,0,7,3,118,13,50,239554,97,1,0,1,1,0,0,31,0
0,0,0,1,7,4,179,51,38,239554,97,0,0,0,1,0,0,31,2
1,0,0,0,7,5,279,5,39,239554,97,0,0,2,1,1,0,24,4
0,0,0,1,7,5,289,36,33,239554,97,0,0,2,1,0,1,30,2
0,0,0,1,7,6,179,51,38,239554,97,0,0,0,1,0,0,31,2
0,0,0,1,7,6,361,52,28,239554,97,0,0,1,1,0,4,27,8
0,0,0,1,7,6,260,50,36,239554,97,0,0,4,1,0,0,23,4
0,0,1,0,7,2,155,12,34,239554,97,0,0,2,1,0,0,25,40
0,0,0,1,7,2,235,11,37,239554,97,0,1,1,0,0,1,29,8
1,0,0,0,7,2,260,50,36,239554,97,0,0,4,1,0,0,23,8
1,0,0,0,7,3,260,50,36,239554,97,0,0,4,1,0,0,23,8
1,0,0,0,7,4,260,50,36,239554,97,0,0,4,1,0,0,23,8
1,0,0,0,7,4,179,51,38,239554,97,0,0,0,1,0,0,31,1
0,0,0,1,7,4,179,51,38,239554,97,0,0,0,1,0,0,31,4
1,0,0,0,7,6,246,25,41,239554,97,0,0,0,1,0,0,23,8
0,0,0,1,7,6,179,51,38,239554,97,0,0,0,1,0,0,31,2
0,0,1,0,7,2,179,51,38,239554,97,0,0,0,1,0,0,31,8
1,0,0,0,7,5,189,29,33,239554,97,0,0,2,0,0,2,25,8
0,0,0,1,8,4,248,25,47,205917,92,0,0,2,0,0,1,32,2
1,0,0,0,8,4,330,16,28,205917,92,0,1,0,0,0,0,25,8
1,0,0,0,8,2,179,51,38,205917,92,0,0,0,1,0,0,31,1
1,0,0,0,8,2,361,52,28,205917,92,0,0,1,1,0,4,27,40
0,0,0,1,8,6,260,50,36,205917,92,0,0,4,1,0,0,23,4
0,0,1,0,8,2,289,36,33,205917,92,0,0,2,1,0,1,30,8
0,0,0,1,8,2,361,52,28,205917,92,0,0,1,1,0,4,27,7
0,0,0,1,8,3,289,36,33,205917,92,0,0,2,1,0,1,30,1
0,0,0,1,8,4,157,27,29,205917,92,0,0,0,1,1,0,22,4
0,0,1,0,8,4,289,36,33,205917,92,0,0,2,1,0,1,30,8
0,0,0,1,8,6,179,51,38,205917,92,0,0,0,1,0,0,31,2
0,0,1,0,8,2,179,51,38,205917,92,0,0,0,1,0,0,31,8
0,0,1,0,8,5,235,29,48,205917,92,0,0,1,0,1,5,33,8
0,0,0,1,8,5,235,11,37,205917,92,0,1,1,0,0,1,29,4
0,0,1,0,8,2,235,29,48,205917,92,0,0,1,0,1,5,33,8
0,0,0,1,8,2,179,51,38,205917,92,0,0,0,1,0,0,31,2
0,0,0,1,8,2,361,52,28,205917,92,0,0,1,1,0,4,27,1
0,0,0,1,8,3,289,36,33,205917,92,0,0,2,1,0,1,30,8
1,0,0,0,8,5,291,50,32,205917,92,0,0,0,1,0,0,23,4
